Est en INFO,Filière,1
Est en MMI,Filière,1
Est en GEII,Filière,1
Est en R&T,Filière,1
Ne connaissait personne avant d'arriver à l'IUT,Rentrée,1
A participé à une journée portes ouvertes de l'IUT,Rentrée,3
S'est déjà perdu dans l'IUT,Rentrée,2
S'est déjà trompé de salle depuis la rentrée,Rentrée,2
Est déjà arrivé en retard à un cours depuis la rentrée (15+min),Rentrée,1
Habite à plus de 30 min de l'IUT,Trajet,1
Habite à plus d'1 h de l'IUT,Trajet,2
A déjà raté son arrêt de bus ou de tram en venant,Trajet,3
Vient d'un bac technologique,Parcours scolaire,2
A choisi ce BUT en premier vœu,Orientation,2
S'est réorienté après une autre formation,Orientation,4
Pratique un sport collectif,Loisirs,2
Pratique un sport individuel,Loisirs,1
Joue régulièrement à un jeu vidéo,Loisirs,2
Joue d'un instrument de musique,Loisirs,3
Parle au moins 3 langues,Loisirs,4
A déjà vécu à l'étranger,Loisirs,4
A déjà travaillé pendant les vacances,Expérience,2
A son permis de conduire,Expérience,2
A déjà mangé au CROUS depuis la rentrée,Vie à l'IUT,1
Est membre du BDE,BDE,3
Est président·e du BDE,BDE,5
Est trésorier·ère du BDE,BDE,5
Est secrétaire du BDE,BDE,5
N'avait jamais visité Vélizy avant son inscription,Rentrée,2
A déjà oublié sa carte étudiante,Rentrée,2
A découvert cette formation sur Parcoursup,Orientation,2
